               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  78,            0.053887,             0.12993,           0.0029269,             0.83666,             0.78333,             0.82309,             0.40003,            0.049377,              0.1159,           0.0058913,           0.0086146,           0.0086146,           0.0086146
                  79,            0.054542,             0.13008,           0.0029124,             0.88687,             0.75818,             0.81768,             0.40579,            0.050713,             0.11477,           0.0051991,           0.0085805,           0.0085805,           0.0085805
                  80,            0.052873,             0.12616,           0.0021478,             0.85792,             0.76369,             0.82638,             0.40787,            0.050226,             0.11199,           0.0044859,           0.0085459,           0.0085459,           0.0085459
                  81,            0.054668,             0.12851,           0.0024068,              0.8782,             0.76502,             0.82523,             0.40042,            0.050248,             0.11572,           0.0049081,           0.0085111,           0.0085111,           0.0085111
                  82,            0.053002,             0.13049,           0.0026002,             0.84297,             0.79277,             0.83111,              0.4145,            0.049914,             0.11537,           0.0041838,           0.0084759,           0.0084759,           0.0084759
                  83,            0.055297,             0.13706,           0.0023685,              0.8288,             0.78577,               0.825,             0.39407,            0.050099,             0.11855,           0.0047849,           0.0084404,           0.0084404,           0.0084404
                  84,            0.054308,             0.12327,           0.0023332,             0.85576,             0.78214,             0.82771,             0.40081,            0.050298,             0.11436,           0.0041256,           0.0084046,           0.0084046,           0.0084046
                  85,            0.054532,             0.13022,           0.0023801,             0.89712,             0.78914,             0.83834,             0.40799,             0.04952,             0.11517,           0.0050051,           0.0083684,           0.0083684,           0.0083684
                  86,             0.05374,              0.1236,            0.002382,             0.88054,             0.76076,             0.82501,             0.40723,            0.049863,              0.1137,            0.004892,           0.0083319,           0.0083319,           0.0083319
                  87,            0.054243,             0.12568,           0.0022364,             0.87679,              0.7622,             0.83069,             0.39477,            0.050005,             0.11432,           0.0045217,           0.0082952,           0.0082952,           0.0082952
                  88,            0.056877,             0.13828,           0.0021988,             0.85532,             0.79203,             0.82824,             0.40024,            0.050593,             0.11551,           0.0048195,           0.0082581,           0.0082581,           0.0082581
                  89,            0.053832,             0.13306,           0.0020926,             0.86398,             0.75033,              0.8169,             0.39718,            0.051301,             0.11483,           0.0043588,           0.0082207,           0.0082207,           0.0082207
                  90,            0.052173,              0.1248,           0.0021295,             0.86272,             0.78061,             0.82788,              0.4132,            0.049489,             0.11052,           0.0043993,            0.008183,            0.008183,            0.008183
                  91,              0.0537,             0.13379,            0.002127,             0.86989,             0.78655,             0.83082,             0.40678,            0.049288,             0.11416,           0.0046838,            0.008145,            0.008145,            0.008145
                  92,            0.053065,             0.12366,           0.0023093,             0.88799,              0.7827,             0.82908,             0.39799,            0.048817,             0.11396,           0.0051423,           0.0081068,           0.0081068,           0.0081068
                  93,            0.051857,             0.12116,           0.0023418,             0.87588,             0.77855,               0.841,             0.41753,            0.048992,             0.11438,           0.0042097,           0.0080682,           0.0080682,           0.0080682
                  94,            0.052734,             0.12988,            0.002069,             0.88223,              0.7955,             0.84513,             0.41223,            0.050261,             0.11359,           0.0045423,           0.0080294,           0.0080294,           0.0080294
