               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 121,            0.053598,             0.12753,            0.002363,             0.85593,             0.80052,             0.85574,             0.43109,             0.04951,             0.10617,           0.0034811,           0.0068906,           0.0068906,           0.0068906
                 122,            0.054055,             0.12353,            0.002342,             0.86326,              0.8006,             0.85587,             0.44049,            0.048868,             0.10529,           0.0036357,           0.0068457,           0.0068457,           0.0068457
                 123,            0.055919,              0.1212,           0.0023289,             0.85243,             0.79805,             0.84484,             0.43617,            0.048776,             0.10555,           0.0039213,           0.0068006,           0.0068006,           0.0068006
                 124,            0.053352,             0.12253,           0.0021765,             0.85914,             0.80578,             0.85414,             0.42067,            0.048704,             0.10544,           0.0035545,           0.0067555,           0.0067555,           0.0067555
                 125,            0.051192,             0.12513,           0.0022111,             0.87746,             0.80597,             0.87068,              0.4313,            0.048861,             0.10613,              0.0033,           0.0067101,           0.0067101,           0.0067101
                 126,            0.052164,              0.1158,           0.0022203,             0.89547,             0.81291,             0.87368,              0.4378,            0.048099,             0.10579,           0.0031922,           0.0066647,           0.0066647,           0.0066647
                 127,            0.051638,             0.12526,           0.0019368,             0.85105,             0.81368,             0.86112,              0.4372,            0.048694,             0.10558,            0.003442,           0.0066191,           0.0066191,           0.0066191
                 128,            0.052077,             0.12211,           0.0019894,             0.91049,             0.77697,             0.85829,             0.43748,            0.048266,             0.10674,           0.0036132,           0.0065734,           0.0065734,           0.0065734
                 129,            0.052949,             0.11613,           0.0021403,             0.89467,             0.79216,             0.85626,             0.43824,            0.049042,             0.10506,           0.0038036,           0.0065276,           0.0065276,           0.0065276
                 130,            0.052475,              0.1124,           0.0020251,              0.9032,             0.78269,              0.8567,             0.42446,            0.048497,             0.10656,           0.0029623,           0.0064816,           0.0064816,           0.0064816
                 131,            0.053161,             0.12506,           0.0018744,             0.85845,             0.81813,             0.86379,             0.43703,            0.048686,             0.10711,           0.0034469,           0.0064356,           0.0064356,           0.0064356
                 132,             0.05071,             0.11942,           0.0021687,             0.87197,             0.82765,             0.86972,             0.43159,             0.04806,             0.10989,           0.0039337,           0.0063895,           0.0063895,           0.0063895
                 133,            0.051746,              0.1194,           0.0021082,             0.90816,             0.81053,             0.86661,             0.43432,            0.048246,             0.10476,           0.0034234,           0.0063432,           0.0063432,           0.0063432
                 134,            0.051256,             0.11843,           0.0019419,             0.84229,             0.82633,             0.85659,             0.41983,            0.048683,             0.10417,           0.0032557,           0.0062969,           0.0062969,           0.0062969
                 135,            0.051266,             0.11613,           0.0020683,             0.88155,             0.78509,             0.85149,             0.42696,            0.049019,             0.10483,           0.0031581,           0.0062505,           0.0062505,           0.0062505
                 136,            0.052215,             0.12123,            0.001881,             0.85678,             0.80078,             0.85076,              0.4223,            0.048894,             0.10549,           0.0040249,            0.006204,            0.006204,            0.006204
                 137,            0.050486,             0.11906,           0.0017754,             0.89204,              0.7966,              0.8675,             0.43345,            0.048725,             0.10664,           0.0035069,           0.0061574,           0.0061574,           0.0061574
                 138,            0.052891,             0.11872,           0.0022567,              0.9117,             0.79582,             0.87526,             0.43741,            0.048449,             0.10664,           0.0033595,           0.0061107,           0.0061107,           0.0061107
                 139,            0.051062,             0.12163,           0.0020928,              0.8891,             0.78896,             0.85824,             0.43621,            0.048563,             0.10532,             0.00313,            0.006064,            0.006064,            0.006064
                 140,            0.052035,             0.11931,           0.0018289,             0.92125,             0.79613,             0.87189,             0.42511,            0.048534,             0.10432,           0.0031693,           0.0060172,           0.0060172,           0.0060172
